Greengage,2
Olives,2
Physalis,2
Cherries,4
Tamarind,5
Lychees,7
Rambutan,7
Rhubarb,11
Apricot,17
Lemon,17
Passion Fruit,17
Acai,20
Dates,20
Lime,20
Jujube,22
Cantaloupe,23
Starfruit,28
Plum,30
Persimmon,32
Clementine,35
Figs,37
Guava,37
Cranberries,46
Mandarin Oranges,47
Tangerine,47
Strawberries,49
Quince,52
Peach,59
Mulberries,60
Blackberries,62
Orange,62
Currants,63
Raspberries,64
Nectarine,66
Blood Oranges,70
Minneola,70
Blueberries,84
Watermelon,86
Apple,95
Pear,101
Grapes,104
Banana,111
Kiwi,112
Fruit salad,125
Custard Apple,136
Jackfruit,143
Applesauce,167
Mango,202
Papaya,215
Plantains,218
Pomegranate,234
Avocado,320
Raisins,434
Pineapple,453
